CCSR Category,Rationale for Default Assignment
MBD017,06 Infectious conditions
DIG018,12 Only one CCSR category matches the ICD-10-CM codebook chapter
DIG023,12 Only one CCSR category matches the ICD-10-CM codebook chapter
DIG018,0 Not Applicable
DIG023,0 Not Applicable
DIG019,0 Not Applicable
DIG019,99 Unacceptable PDX
GEN002,12 Only one CCSR category matches the ICD-10-CM codebook chapter
DIG019,99 Unacceptable PDX and DX1
DIG017,0 Not Applicable
DIG017,99 Unacceptable PDX and DX1
DIG006,99 Unacceptable PDX and DX1
DIG020,0 Not Applicable
DIG020,11 Condition XX due to underlying cause YY
DIG025,04 Allergic reactions
DIG024,01 Postprocedural or postoperative complications
SYM004,01 Postprocedural or postoperative complications
DIG024,0 Not Applicable
DIG012,01 Postprocedural or postoperative complications
DIG017,01 Postprocedural or postoperative complications
DIG018,01 Postprocedural or postoperative complications
DIG019,01 Postprocedural or postoperative complications
GEN002,01 Postprocedural or postoperative complications
SKN001,0 Not Applicable
SKN002,0 Not Applicable
SKN002,11 Condition XX due to underlying cause YY
SKN002,04 Allergic reactions
SKN005,0 Not Applicable
SKN005,04 Allergic reactions
SKN005,11 Condition XX due to underlying cause YY
SKN007,04 Allergic reactions
SKN007,0 Not Applicable
MUS005,12 Only one CCSR category matches the ICD-10-CM codebook chapter
SKN002,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS028,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS011,12 Only one CCSR category matches the ICD-10-CM codebook chapter
SKN002,99 Unacceptable PDX
SKN007,99 Unacceptable PDX and DX1
SKN007,11 Condition XX due to underlying cause YY
SKN006,0 Not Applicable
SKN003,0 Not Applicable
MUS024,12 Only one CCSR category matches the ICD-10-CM codebook chapter
SKN004,0 Not Applicable
MUS030,05 Condition AA with condition BB
SKN004,05 Condition AA with condition BB
MUS001,99 Unacceptable PDX and DX1
MUS007,0 Not Applicable
MUS008,0 Not Applicable
MUS008,99 Unacceptable PDX and DX1
MUS036,0 Not Applicable
MUS003,0 Not Applicable
MUS003,05 Exception to condition AA with condition BB
RSP016,05 Exception to condition AA with condition BB
CIR037,05 Exception to condition AA with condition BB
CIR015,05 Exception to condition AA with condition BB
NVS018,05 Exception to condition AA with condition BB
NVS015,05 Exception to condition AA with condition BB
MUS004,0 Not Applicable
MUS004,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS011,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS033,0 Not Applicable
MUS033,11 Condition XX due to underlying cause YY
MUS034,0 Not Applicable
MUS005,0 Not Applicable
MUS009,0 Not Applicable
MUS031,0 Not Applicable
MUS032,0 Not Applicable
MUS006,0 Not Applicable
MUS023,0 Not Applicable
MUS021,0 Not Applicable
MUS010,0 Not Applicable
MUS029,0 Not Applicable
DEN003,12 Only one CCSR category matches the ICD-10-CM codebook chapter
CIR037,11 Condition XX due to underlying cause YY
MUS024,11 Condition XX due to underlying cause YY
MUS024,0 Not Applicable
CIR006,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS024,05 Condition AA with condition BB
EYE001,05 Condition AA with condition BB
NVS018,05 Condition AA with condition BB
MUS007,05 Condition AA with condition BB
CIR037,05 Condition AA with condition BB
DEN001,05 Condition AA with condition BB
DEN002,05 Condition AA with condition BB
DEN003,05 Condition AA with condition BB
DIG002,05 Condition AA with condition BB
MUS024,99 Unacceptable PDX and DX1
BLD006,99 Unacceptable PDX and DX1
INJ031,99 Unacceptable PDX and DX1
MUS022,0 Not Applicable
MUS011,0 Not Applicable
MUS003,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS002,0 Not Applicable
MUS016,0 Not Applicable
MUS017,0 Not Applicable
MUS020,0 Not Applicable
MUS011,99 Unacceptable PDX and DX1
MUS011,11 Condition XX due to underlying cause YY
MUS038,11 Condition XX due to underlying cause YY
MUS025,0 Not Applicable
MUS038,0 Not Applicable
MUS026,0 Not Applicable
MUS026,99 Unacceptable PDX and DX1
MUS009,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS027,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS025,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS013,05 Condition AA with condition BB
MUS014,05 Condition AA with condition BB
MUS015,0 Not Applicable
MUS013,0 Not Applicable
MUS028,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS035,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG027,12 More than one CCSR category matches the ICD-10-CM codebook chapter
MUS035,11 Condition XX due to underlying cause YY
MUS014,0 Not Applicable
MUS014,12 Only one CCSR category matches the ICD-10-CM codebook chapter
NEO074,12 Only one CCSR category matches the ICD-10-CM codebook chapter
MUS018,0 Not Applicable
MUS019,0 Not Applicable
MUS028,0 Not Applicable
MUS030,0 Not Applicable
MUS030,11 Condition XX due to underlying cause YY
MUS030,99 Unacceptable PDX and DX1
MUS028,99 Unacceptable PDX and DX1
MUS028,01 Postprocedural or postoperative complications
MUS037,01 Postprocedural or postoperative complications
MUS011,01 Postprocedural or postoperative complications
MUS022,01 Postprocedural or postoperative complications
MUS037,0 Not Applicable
INJ003,0 Not Applicable
INJ006,0 Not Applicable
INJ043,0 Not Applicable
INJ073,0 Not Applicable
INJ005,0 Not Applicable
INJ042,0 Not Applicable
INJ004,0 Not Applicable
INJ041,0 Not Applicable
MUS012,0 Not Applicable
GEN001,0 Not Applicable
GEN009,05 Condition AA with condition BB
GEN010,05 Condition AA with condition BB
GEN004,0 Not Applicable
GEN006,0 Not Applicable
GEN005,05 Condition AA with condition BB
GEN006,05 Condition AA with condition BB
GEN011,0 Not Applicable
GEN001,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN001,11 Condition XX due to underlying cause YY
GEN002,0 Not Applicable
GEN003,0 Not Applicable
GEN005,0 Not Applicable
GEN005,99 Unacceptable PDX and DX1
GEN006,99 Unacceptable PDX and DX1
GEN004,05 Condition AA with condition BB
GEN007,0 Not Applicable
GEN007,99 Unacceptable PDX and DX1
SYM011,0 Not Applicable
GEN012,0 Not Applicable
GEN013,0 Not Applicable
GEN016,0 Not Applicable
GEN013,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN016,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN015,0 Not Applicable
GEN015,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN016,99 Unacceptable PDX and DX1
GEN016,11 Condition XX due to underlying cause YY
CIR028,12 Only one CCSR category matches the ICD-10-CM codebook chapter
GEN014,0 Not Applicable
GEN014,99 Unacceptable PDX and DX1
GEN014,11 Condition XX due to underlying cause YY
GEN014,01 Postprocedural or postoperative complications
GEN017,0 Not Applicable
GEN017,99 Unacceptable PDX
GEN018,0 Not Applicable
GEN018,99 Unacceptable PDX and DX1
GEN019,0 Not Applicable
GEN019,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN022,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN020,0 Not Applicable
GEN025,0 Not Applicable
GEN022,0 Not Applicable
GEN021,0 Not Applicable
GEN023,0 Not Applicable
GEN023,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN025,12 More than one CCSR category matches the ICD-10-CM codebook chapter
GEN024,0 Not Applicable
GEN026,0 Not Applicable
GEN026,01 Postprocedural or postoperative complications
GEN007,01 Postprocedural or postoperative complications
GEN025,01 Postprocedural or postoperative complications
PRG005,0 Not Applicable
PRG006,0 Not Applicable
PRG003,0 Not Applicable
PRG003,"03 Pregnancy, perinatal, and congenital malformation"
SYM003,"03 Pregnancy, perinatal, and congenital malformation"
CIR018,"03 Pregnancy, perinatal, and congenital malformation"
INF002,"03 Pregnancy, perinatal, and congenital malformation"
PRG004,0 Not Applicable
PRG004,"03 Pregnancy, perinatal, and congenital malformation"
PRG007,0 Not Applicable
PRG007,"03 Pregnancy, perinatal, and congenital malformation"
PRG008,99 Unacceptable PDX
PRG015,99 Unacceptable PDX
CIR007,"03 Pregnancy, perinatal, and congenital malformation"
PRG020,"03 Pregnancy, perinatal, and congenital malformation"
CIR007,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG020,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG023,12 More than one CCSR category matches the ICD-10-CM codebook chapter
CIR008,"03 Pregnancy, perinatal, and congenital malformation"
CIR008,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG028,0 Not Applicable
PRG023,0 Not Applicable
GEN010,"03 Pregnancy, perinatal, and congenital malformation"
PRG028,"03 Pregnancy, perinatal, and congenital malformation"
PRG023,"03 Pregnancy, perinatal, and congenital malformation"
PRG027,"03 Pregnancy, perinatal, and congenital malformation"
PRG020,0 Not Applicable
PRG009,0 Not Applicable
SYM004,"03 Pregnancy, perinatal, and congenital malformation"
CIR035,"03 Pregnancy, perinatal, and congenital malformation"
CIR039,"03 Pregnancy, perinatal, and congenital malformation"
CIR033,"03 Pregnancy, perinatal, and congenital malformation"
DIG014,"03 Pregnancy, perinatal, and congenital malformation"
GEN004,"03 Pregnancy, perinatal, and congenital malformation"
GEN018,"03 Pregnancy, perinatal, and congenital malformation"
END002,"03 Pregnancy, perinatal, and congenital malformation"
END004,"03 Pregnancy, perinatal, and congenital malformation"
PRG019,"03 Pregnancy, perinatal, and congenital malformation"
END002,12 More than one CCSR category matches the ICD-10-CM codebook chapter
END004,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG019,12 More than one CCSR category matches the ICD-10-CM codebook chapter
END005,"03 Pregnancy, perinatal, and congenital malformation"
END005,12 More than one CCSR category matches the ICD-10-CM codebook chapter
END008,"03 Pregnancy, perinatal, and congenital malformation"
PRG015,0 Not Applicable
INF008,"03 Pregnancy, perinatal, and congenital malformation"
CIR031,"03 Pregnancy, perinatal, and congenital malformation"
DIG019,"03 Pregnancy, perinatal, and congenital malformation"
GEN006,"03 Pregnancy, perinatal, and congenital malformation"
PRG010,0 Not Applicable
PRG011,0 Not Applicable
PRG025,"03 Pregnancy, perinatal, and congenital malformation"
RSP010,"03 Pregnancy, perinatal, and congenital malformation"
PRG025,0 Not Applicable
CIR019,"03 Pregnancy, perinatal, and congenital malformation"
PRG012,0 Not Applicable
PRG024,0 Not Applicable
PRG017,0 Not Applicable
PRG016,0 Not Applicable
PRG013,0 Not Applicable
MBD017,"03 Pregnancy, perinatal, and congenital malformation"
PRG013,"03 Pregnancy, perinatal, and congenital malformation"
MBD025,"03 Pregnancy, perinatal, and congenital malformation"
PRG005,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG018,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG013,99 Unacceptable PDX
PRG014,0 Not Applicable
PRG021,0 Not Applicable
PRG029,0 Not Applicable
PRG018,0 Not Applicable
PRG009,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG010,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG022,0 Not Applicable
PRG011,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG029,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PRG026,0 Not Applicable
PRG025,12 More than one CCSR category matches the ICD-10-CM codebook chapter
INJ030,"03 Pregnancy, perinatal, and congenital malformation"
PRG024,"03 Pregnancy, perinatal, and congenital malformation"
CIR005,"03 Pregnancy, perinatal, and congenital malformation"
GEN002,"03 Pregnancy, perinatal, and congenital malformation"
END001,"03 Pregnancy, perinatal, and congenital malformation"
MBD002,"03 Pregnancy, perinatal, and congenital malformation"
GEN017,"03 Pregnancy, perinatal, and congenital malformation"
PRG028,99 Unacceptable PDX
INF001,"03 Pregnancy, perinatal, and congenital malformation"
INF007,"03 Pregnancy, perinatal, and congenital malformation"
INF009,"03 Pregnancy, perinatal, and congenital malformation"
INF006,"03 Pregnancy, perinatal, and congenital malformation"
END009,"03 Pregnancy, perinatal, and congenital malformation"
MBD024,"03 Pregnancy, perinatal, and congenital malformation"
MBD013,"03 Pregnancy, perinatal, and congenital malformation"
FAC024,99 Unacceptable PDX
FAC024,"03 Pregnancy, perinatal, and congenital malformation"
PRG027,99 Unacceptable PDX
INJ027,"03 Pregnancy, perinatal, and congenital malformation"
INJ032,"03 Pregnancy, perinatal, and congenital malformation"
PNL010,0 Not Applicable
PNL010,06 Infectious Conditions
PNL010,10 Substance use disorders
PNL014,10 Substance use disorders
PNL010,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PNL015,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PNL002,0 Not Applicable
PNL013,0 Not Applicable
END016,05 Condition AA with condition BB
PNL013,05 Condition AA with condition BB
MAL010,05 Condition AA with condition BB
END012,05 Condition AA with condition BB
MAL001,05 Condition AA with condition BB
EAR004,05 Condition AA with condition BB
PNL008,0 Not Applicable
PNL003,0 Not Applicable
PNL005,0 Not Applicable
INF008,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PNL006,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PNL009,12 More than one CCSR category matches the ICD-10-CM codebook chapter
INF003,12 More than one CCSR category matches the ICD-10-CM codebook chapter
INF009,12 More than one CCSR category matches the ICD-10-CM codebook chapter
PNL006,0 Not Applicable
INF003,"03 Pregnancy, perinatal, and congenital malformation"
INF004,"03 Pregnancy, perinatal, and congenital malformation"
PNL009,0 Not Applicable
PNL011,0 Not Applicable
PNL007,0 Not Applicable
PNL007,"03 Pregnancy, perinatal, and congenital malformation"
PNL012,0 Not Applicable
PNL004,0 Not Applicable
PNL004,99 Unacceptable PDX and DX1
PNL013,"03 Pregnancy, perinatal, and congenital malformation"
PNL014,0 Not Applicable
MAL004,0 Not Applicable
MAL005,0 Not Applicable
MAL001,0 Not Applicable
MAL007,0 Not Applicable
MAL006,0 Not Applicable
MAL002,0 Not Applicable
MAL003,0 Not Applicable
MAL008,0 Not Applicable
MAL010,0 Not Applicable
MAL010,12 Exception to match the CCSR body system to the ICD-10-CM codebook chapter
PNL015,12 Exception to match the CCSR body system to the ICD-10-CM codebook chapter
MAL009,0 Not Applicable
SYM012,0 Not Applicable
SYM013,0 Not Applicable
NVS016,07 Signs/symptoms and factors influencing health status
SYM013,07 Signs/symptoms and factors influencing health status
CIR012,0 Not Applicable
SYM015,0 Not Applicable
SYM006,0 Not Applicable
SYM004,0 Not Applicable
SYM005,0 Not Applicable
NEO074,99 Unacceptable PDX
SYM006,99 Unacceptable PDX
SYM014,0 Not Applicable
SYM010,0 Not Applicable
SYM016,0 Not Applicable
CIR020,99 Unacceptable PDX and DX1
GEN009,0 Not Applicable
INJ030,07 Signs/symptoms and factors influencing health status
SYM011,07 Signs/symptoms and factors influencing health status
SYM010,99 Unacceptable PDX and DX1
NVS013,99 Unacceptable PDX
SYM010,99 Unacceptable PDX
SYM008,0 Not Applicable
SYM008,99 Unacceptable PDX
MBD012,0 Not Applicable
EXT019,08 Suicidal ideation/attempt/intentional self-harm
EXT021,08 Suicidal ideation/attempt/intentional self-harm
INJ027,08 Suicidal ideation/attempt/intentional self-harm
MBD012,08 Suicidal ideation/attempt/intentional self-harm
SYM002,07 Signs/symptoms and factors influencing health status
SYM002,99 Unacceptable PDX and DX1
SYM002,0 Not Applicable
SYM010,07 Signs/symptoms and factors influencing health status
NEO074,07 Signs/symptoms and factors influencing health status
SYM007,0 Not Applicable
SYM001,0 Not Applicable
SYM003,0 Not Applicable
SYM003,99 Unacceptable PDX
DEN001,07 Signs/symptoms and factors influencing health status
DEN002,07 Signs/symptoms and factors influencing health status
DIG003,07 Signs/symptoms and factors influencing health status
SYM016,07 Signs/symptoms and factors influencing health status
SYM017,0 Not Applicable
SYM009,0 Not Applicable
GEN010,0 Not Applicable
GEN003,07 Signs/symptoms and factors influencing health status
SYM017,07 Signs/symptoms and factors influencing health status
INJ017,0 Not Applicable
INJ054,0 Not Applicable
INJ011,0 Not Applicable
INJ048,0 Not Applicable
INJ001,0 Not Applicable
INJ038,0 Not Applicable
INJ007,0 Not Applicable
INJ044,0 Not Applicable
INJ007,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ044,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ073,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ024,0 Not Applicable
INJ061,0 Not Applicable
INJ025,0 Not Applicable
INJ062,0 Not Applicable
INJ026,0 Not Applicable
INJ063,0 Not Applicable
INJ027,0 Not Applicable
INJ064,0 Not Applicable
INJ008,0 Not Applicable
INJ045,0 Not Applicable
INJ018,0 Not Applicable
INJ055,0 Not Applicable
INJ015,0 Not Applicable
INJ052,0 Not Applicable
INJ016,0 Not Applicable
INJ053,0 Not Applicable
INJ002,0 Not Applicable
INJ039,0 Not Applicable
INJ009,0 Not Applicable
INJ046,0 Not Applicable
INJ013,0 Not Applicable
INJ050,0 Not Applicable
INJ040,0 Not Applicable
INJ010,0 Not Applicable
INJ047,0 Not Applicable
INJ012,0 Not Applicable
INJ049,0 Not Applicable
INJ014,0 Not Applicable
INJ051,0 Not Applicable
INJ064,08 Suicidal ideation/attempt/intentional self-harm
MBD027,08 Suicidal ideation/attempt/intentional self-harm
INJ073,08 Suicidal ideation/attempt/intentional self-harm
MBD034,08 Suicidal ideation/attempt/intentional self-harm
EXT018,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT020,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ020,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ057,0 Not Applicable
EXT017,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ019,0 Not Applicable
INJ056,0 Not Applicable
INJ021,0 Not Applicable
INJ058,0 Not Applicable
INJ074,0 Not Applicable
EXT014,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ022,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ059,0 Not Applicable
INJ075,0 Not Applicable
EXT014,08 Suicidal ideation/attempt/intentional self-harm
INJ022,08 Suicidal ideation/attempt/intentional self-harm
INJ059,08 Suicidal ideation/attempt/intentional self-harm
INJ075,08 Suicidal ideation/attempt/intentional self-harm
EXT022,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT023,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ028,99 Unacceptable PDX
INJ065,99 Unacceptable PDX
INJ075,99 Unacceptable PDX
INJ029,99 Unacceptable PDX and DX1
INJ066,99 Unacceptable PDX and DX1
INJ075,99 Unacceptable PDX and DX1
EXT014,09 Poisoning by drugs or adverse effects of medical drugs
EXT020,09 Poisoning by drugs or adverse effects of medical drugs
INJ022,09 Poisoning by drugs or adverse effects of medical drugs
MBD018,09 Poisoning by drugs or adverse effects of medical drugs
INJ059,09 Poisoning by drugs or adverse effects of medical drugs
MBD028,09 Poisoning by drugs or adverse effects of medical drugs
INJ075,10 Substance use disorders
MBD034,10 Substance use disorders
MBD018,08 Suicidal ideation/attempt/intentional self-harm
MBD028,08 Suicidal ideation/attempt/intentional self-harm
EXT022,09 Poisoning by drugs or adverse effects of medical drugs
EXT023,09 Poisoning by drugs or adverse effects of medical drugs
MBD018,99 Unacceptable PDX
MBD028,99 Unacceptable PDX
MBD034,99 Unacceptable PDX
INJ028,0 Not Applicable
INJ065,0 Not Applicable
MBD021,09 Poisoning by drugs or adverse effects of medical drugs
MBD029,09 Poisoning by drugs or adverse effects of medical drugs
MBD021,08 Suicidal ideation/attempt/intentional self-harm
MBD029,08 Suicidal ideation/attempt/intentional self-harm
MBD021,99 Unacceptable PDX
MBD029,99 Unacceptable PDX
MBD019,09 Poisoning by drugs or adverse effects of medical drugs
MBD030,09 Poisoning by drugs or adverse effects of medical drugs
MBD019,08 Suicidal ideation/attempt/intentional self-harm
MBD030,08 Suicidal ideation/attempt/intentional self-harm
MBD019,99 Unacceptable PDX
MBD030,99 Unacceptable PDX
MBD022,09 Poisoning by drugs or adverse effects of medical drugs
MBD031,09 Poisoning by drugs or adverse effects of medical drugs
MBD022,08 Suicidal ideation/attempt/intentional self-harm
MBD031,08 Suicidal ideation/attempt/intentional self-harm
MBD022,99 Unacceptable PDX
MBD031,99 Unacceptable PDX
MBD023,09 Poisoning by drugs or adverse effects of medical drugs
MBD033,09 Poisoning by drugs or adverse effects of medical drugs
MBD023,08 Suicidal ideation/attempt/intentional self-harm
MBD033,08 Suicidal ideation/attempt/intentional self-harm
MBD023,99 Unacceptable PDX
MBD033,99 Unacceptable PDX
MBD020,09 Poisoning by drugs or adverse effects of medical drugs
MBD032,09 Poisoning by drugs or adverse effects of medical drugs
MBD020,08 Suicidal ideation/attempt/intentional self-harm
MBD032,08 Suicidal ideation/attempt/intentional self-harm
MBD020,99 Unacceptable PDX
MBD032,99 Unacceptable PDX
INJ075,09 Poisoning by drugs or adverse effects of medical drugs
MBD034,09 Poisoning by drugs or adverse effects of medical drugs
EXT015,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ023,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ060,0 Not Applicable
EXT015,08 Suicidal ideation/attempt/intentional self-harm
INJ023,08 Suicidal ideation/attempt/intentional self-harm
INJ060,08 Suicidal ideation/attempt/intentional self-harm
EXT004,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT004,08 Suicidal ideation/attempt/intentional self-harm
EXT012,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT012,08 Suicidal ideation/attempt/intentional self-harm
EXT011,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT011,08 Suicidal ideation/attempt/intentional self-harm
INJ021,12 Only one CCSR category matches the ICD-10-CM codebook chapter
EXT017,08 Suicidal ideation/attempt/intentional self-harm
INJ021,08 Suicidal ideation/attempt/intentional self-harm
INJ058,08 Suicidal ideation/attempt/intentional self-harm
INJ074,08 Suicidal ideation/attempt/intentional self-harm
EXT013,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ032,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ068,0 Not Applicable
EXT002,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INJ031,0 Not Applicable
INJ067,0 Not Applicable
INJ037,0 Not Applicable
INJ072,0 Not Applicable
INJ076,0 Not Applicable
INJ037,01 Postprocedural or postoperative complications
INJ072,01 Postprocedural or postoperative complications
INJ076,01 Postprocedural or postoperative complications
SYM003,01 Postprocedural or postoperative complications
INJ037,99 Unacceptable PDX
INJ072,99 Unacceptable PDX
INJ076,99 Unacceptable PDX
INF002,01 Postprocedural or postoperative complications
INJ033,0 Not Applicable
INJ069,0 Not Applicable
INJ034,0 Not Applicable
INJ070,0 Not Applicable
INJ035,0 Not Applicable
INJ071,0 Not Applicable
INJ036,0 Not Applicable
INJ010,12 Only one CCSR category matches the ICD-10-CM codebook chapter
RSP013,12 Only one CCSR category matches the ICD-10-CM codebook chapter
INF012,0 Not Applicable
EXT016,99 Unacceptable PDX and DX1
EXT020,99 Unacceptable PDX and DX1
EXT029,99 Unacceptable PDX and DX1
EXT030,99 Unacceptable PDX and DX1
EXT003,99 Unacceptable PDX and DX1
EXT018,99 Unacceptable PDX and DX1
EXT009,99 Unacceptable PDX and DX1
EXT007,99 Unacceptable PDX and DX1
EXT008,99 Unacceptable PDX and DX1
EXT010,99 Unacceptable PDX and DX1
EXT002,99 Unacceptable PDX and DX1
EXT013,99 Unacceptable PDX and DX1
EXT006,99 Unacceptable PDX and DX1
EXT001,99 Unacceptable PDX and DX1
EXT005,99 Unacceptable PDX and DX1
EXT011,99 Unacceptable PDX and DX1
EXT012,99 Unacceptable PDX and DX1
EXT004,99 Unacceptable PDX and DX1
EXT019,99 Unacceptable PDX and DX1
EXT021,99 Unacceptable PDX and DX1
MBD012,99 Unacceptable PDX and DX1
MBD027,99 Unacceptable PDX and DX1
MBD034,99 Unacceptable PDX and DX1
EXT022,99 Unacceptable PDX and DX1
EXT023,99 Unacceptable PDX and DX1
EXT024,99 Unacceptable PDX and DX1
EXT015,99 Unacceptable PDX and DX1
EXT017,99 Unacceptable PDX and DX1
EXT025,99 Unacceptable PDX and DX1
EXT028,99 Unacceptable PDX and DX1
EXT027,99 Unacceptable PDX and DX1
EXT026,99 Unacceptable PDX and DX1
FAC014,99 Unacceptable PDX
FAC014,0 Not Applicable
DEN001,99 Unacceptable PDX
DEN002,99 Unacceptable PDX
DEN003,99 Unacceptable PDX
FAC001,99 Unacceptable PDX
FAC001,0 Not Applicable
FAC003,0 Not Applicable
FAC003,99 Unacceptable PDX
FAC016,0 Not Applicable
FAC007,0 Not Applicable
FAC008,99 Unacceptable PDX
FAC010,99 Unacceptable PDX
FAC016,99 Unacceptable PDX
FAC008,0 Not Applicable
FAC007,99 Unacceptable PDX
FAC018,0 Not Applicable
FAC018,99 Unacceptable PDX
FAC025,99 Unacceptable PDX
FAC025,0 Not Applicable
FAC021,99 Unacceptable PDX and DX1
FAC015,99 Unacceptable PDX
FAC021,99 Unacceptable PDX
FAC024,0 Not Applicable
FAC017,99 Unacceptable PDX
FAC017,99 Unacceptable PDX and DX1
FAC005,99 Unacceptable PDX
FAC013,99 Unacceptable PDX
FAC013,0 Not Applicable
FAC012,99 Unacceptable PDX
PRG029,99 Unacceptable PDX
PRG001,0 Not Applicable
PRG030,99 Unacceptable PDX
PNL001,0 Not Applicable
PRG002,99 Unacceptable PDX
FAC004,0 Not Applicable
FAC004,99 Unacceptable PDX
FAC010,0 Not Applicable
FAC009,0 Not Applicable
FAC009,99 Unacceptable PDX
CIR016,07 Signs/symptoms and factors influencing health status
FAC009,07 Signs/symptoms and factors influencing health status
EYE010,07 Signs/symptoms and factors influencing health status
EAR004,07 Signs/symptoms and factors influencing health status
GEN003,99 Unacceptable PDX
FAC006,0 Not Applicable
FAC019,99 Unacceptable PDX and DX1
FAC025,99 Unacceptable PDX and DX1
END009,99 Unacceptable PDX and DX1
FAC002,0 Not Applicable
FAC002,99 Unacceptable PDX
FAC011,99 Unacceptable PDX
FAC012,0 Not Applicable
FAC020,99 Unacceptable PDX
FAC020,0 Not Applicable
FAC021,0 Not Applicable
FAC022,99 Unacceptable PDX
FAC022,0 Not Applicable
FAC023,99 Unacceptable PDX
CIR016,99 Unacceptable PDX
CIR003,99 Unacceptable PDX
CIR019,99 Unacceptable PDX
